frame,person,KP_1_x,KP_1_y,KP_1_confidence,KP_2_x,KP_2_y,KP_2_confidence,KP_3_x,KP_3_y,KP_3_confidence,KP_4_x,KP_4_y,KP_4_confidence,KP_5_x,KP_5_y,KP_5_confidence,KP_6_x,KP_6_y,KP_6_confidence,KP_7_x,KP_7_y,KP_7_confidence,KP_8_x,KP_8_y,KP_8_confidence,KP_9_x,KP_9_y,KP_9_confidence,KP_10_x,KP_10_y,KP_10_confidence,KP_11_x,KP_11_y,KP_11_confidence,KP_12_x,KP_12_y,KP_12_confidence,KP_13_x,KP_13_y,KP_13_confidence,KP_14_x,KP_14_y,KP_14_confidence,KP_15_x,KP_15_y,KP_15_confidence,KP_16_x,KP_16_y,KP_16_confidence,KP_17_x,KP_17_y,KP_17_confidence,KP_18_x,KP_18_y,KP_18_confidence,KP_19_x,KP_19_y,KP_19_confidence,KP_20_x,KP_20_y,KP_20_confidence,KP_21_x,KP_21_y,KP_21_confidence,KP_22_x,KP_22_y,KP_22_confidence,KP_23_x,KP_23_y,KP_23_confidence,KP_24_x,KP_24_y,KP_24_confidence,KP_25_x,KP_25_y,KP_25_confidence
20,1,197.502,135.423,0.890994,248.973,197.688,0.843698,186.885,197.535,0.776469,148.328,285.401,0.863473,126.832,368.881,0.913103,315.317,204.04,0.734344,315.39,300.405,0.858327,304.667,388.188,0.81991,214.679,351.838,0.802753,178.256,347.485,0.768258,144.055,426.818,0.756985,118.312,608.872,0.601245,251.13,358.274,0.740162,296.085,437.487,0.827904,274.666,608.851,0.744026,193.247,120.476,0.798177,212.646,122.564,0.903528,0.0,0.0,0.0,270.384,114.004,0.820455,246.842,632.432,0.620679,270.412,638.881,0.641748,278.94,621.685,0.511477,111.849,690.219,0.460464,101.177,679.554,0.40857,114.04,619.611,0.354397
21,1,197.493,135.425,0.889504,248.979,199.68,0.842898,186.904,197.535,0.775996,148.327,285.41,0.863358,126.831,368.884,0.911805,315.317,206.118,0.73591,315.388,300.371,0.860066,304.675,386.201,0.821189,214.672,351.836,0.804585,178.254,347.481,0.768379,144.069,426.763,0.7642,118.309,608.878,0.607043,251.124,358.275,0.742284,296.083,437.46,0.826977,274.656,608.869,0.740303,193.236,120.474,0.801619,212.641,122.556,0.902718,0.0,0.0,0.0,270.396,114.014,0.816896,246.849,632.449,0.61853,270.431,640.901,0.640976,276.867,621.709,0.507347,111.923,685.976,0.430658,103.314,675.306,0.394445,114.028,621.674,0.358625
22,1,197.483,135.428,0.890455,248.97,199.693,0.846657,186.89,197.527,0.7795,148.317,285.376,0.874503,126.852,368.871,0.91381,315.302,206.183,0.738362,315.385,300.385,0.863562,304.691,386.174,0.828167,214.679,351.83,0.804381,178.26,345.414,0.764891,144.058,428.934,0.772571,118.344,606.757,0.609286,251.132,360.344,0.741217,296.08,437.453,0.823515,274.675,608.903,0.722859,193.219,120.486,0.79843,212.611,122.567,0.90319,0.0,0.0,0.0,270.385,112.003,0.81707,248.992,636.687,0.598639,276.799,641.009,0.641227,274.716,621.718,0.487787,111.938,685.969,0.387978,101.217,675.28,0.363997,116.175,617.47,0.367242
23,1,195.53,135.422,0.891952,248.967,199.685,0.848514,186.905,197.529,0.780533,148.316,285.368,0.876662,126.855,368.868,0.914541,313.289,206.164,0.736562,315.387,300.383,0.864813,304.688,386.173,0.829173,214.685,351.834,0.802679,178.263,347.462,0.765505,144.06,428.91,0.774056,118.325,608.856,0.60831,251.136,360.347,0.739994,296.07,437.445,0.820837,274.663,608.908,0.719287,193.221,120.477,0.798331,212.604,122.56,0.902706,0.0,0.0,0.0,270.384,114.002,0.813173,246.886,634.591,0.601062,274.664,640.988,0.628913,276.803,621.742,0.486394,111.943,683.846,0.381512,101.181,675.27,0.3636,116.175,619.584,0.352928
24,1,195.525,135.425,0.89194,248.968,199.684,0.846461,186.901,197.529,0.777512,148.326,283.37,0.875917,126.858,368.863,0.91341,313.288,206.163,0.734542,315.389,300.397,0.865571,304.689,386.178,0.828872,214.678,351.834,0.803482,178.261,347.46,0.765341,144.062,426.808,0.775459,118.315,606.768,0.612697,251.126,360.349,0.741964,296.073,437.456,0.821481,274.655,608.914,0.711399,193.223,120.495,0.79531,212.599,122.556,0.902782,0.0,0.0,0.0,270.389,114.021,0.810618,249.017,634.606,0.587915,276.82,640.999,0.639152,272.586,621.739,0.479308,114.044,679.558,0.40803,103.322,670.997,0.386029,114.053,617.442,0.364316
25,1,195.519,135.419,0.893302,248.958,199.69,0.84605,186.866,197.533,0.776749,148.32,283.372,0.878198,126.859,368.863,0.915769,315.3,206.167,0.733892,315.385,300.384,0.864653,304.689,386.181,0.82914,214.682,351.837,0.802749,178.264,347.466,0.766396,144.06,426.801,0.781105,118.325,608.913,0.603349,251.126,360.352,0.742174,296.069,437.475,0.821751,274.651,610.994,0.710059,193.212,120.484,0.794225,212.587,122.551,0.90143,0.0,0.0,0.0,270.378,112.008,0.815878,248.94,634.612,0.597383,272.568,641.009,0.632476,276.806,623.853,0.496699,111.921,685.966,0.437434,99.0646,677.388,0.405957,122.61,621.751,0.349666
26,1,195.515,133.369,0.894635,248.964,199.688,0.845047,186.877,197.528,0.774862,148.311,283.371,0.879735,126.863,368.861,0.916712,315.3,206.175,0.733707,315.384,300.378,0.863297,304.69,386.191,0.827204,214.678,351.833,0.804588,178.263,347.459,0.7656,144.064,426.804,0.781753,118.312,608.914,0.594103,251.119,360.352,0.744694,296.077,437.497,0.824615,274.654,610.98,0.719067,193.208,120.49,0.793294,212.589,122.57,0.90264,0.0,0.0,0.0,268.344,114.015,0.809224,246.879,634.599,0.604881,272.564,641.016,0.642841,276.834,623.828,0.509097,111.899,688.14,0.42922,99.0623,677.466,0.393612,120.467,621.752,0.343253
27,1,195.51,133.365,0.895458,248.968,199.684,0.843739,186.905,197.524,0.77485,148.316,283.368,0.880217,126.861,368.862,0.918292,313.291,206.174,0.731861,315.385,300.377,0.862549,304.693,386.184,0.827859,214.673,351.836,0.804937,178.261,347.467,0.767686,144.071,426.791,0.783473,118.308,608.892,0.601159,251.112,360.353,0.745483,296.066,437.495,0.821328,274.683,608.933,0.732746,193.206,120.487,0.79043,212.583,122.566,0.901551,0.0,0.0,0.0,270.378,112.016,0.808387,246.812,634.551,0.612942,268.271,640.963,0.639756,278.975,623.818,0.52066,111.916,686.015,0.44144,99.0785,677.436,0.408585,118.331,621.672,0.348346
28,1,195.515,133.359,0.897271,248.956,199.683,0.842952,186.892,197.523,0.774491,148.307,283.379,0.8814,126.857,368.866,0.91769,313.284,206.178,0.729869,315.386,300.369,0.862255,304.69,386.189,0.826649,214.673,351.837,0.804957,178.263,347.469,0.767828,144.066,426.794,0.783797,118.311,611.002,0.595269,251.108,360.357,0.745678,296.065,437.509,0.820567,274.666,610.98,0.721281,193.215,120.494,0.792979,212.579,122.563,0.902002,0.0,0.0,0.0,268.348,111.999,0.81457,246.78,634.606,0.610816,268.243,641.011,0.636193,278.975,623.856,0.51902,109.794,692.356,0.470484,96.9351,683.849,0.419603,126.875,623.841,0.358551
29,1,195.517,133.362,0.89672,248.947,199.682,0.842103,186.88,197.52,0.774154,148.295,285.367,0.881936,126.858,368.867,0.917326,313.271,206.177,0.728771,315.385,300.379,0.860622,304.695,386.189,0.826322,214.669,351.836,0.805114,178.256,347.469,0.767111,144.064,426.782,0.78384,118.312,611.011,0.592788,251.108,360.357,0.746063,296.067,437.501,0.822105,274.674,608.957,0.723627,193.214,120.494,0.79556,212.585,122.57,0.903771,0.0,0.0,0.0,268.346,112.007,0.812128,246.792,634.602,0.612584,268.255,641.006,0.637863,278.979,623.837,0.519975,111.848,690.291,0.474128,96.9419,683.82,0.426065,126.883,623.856,0.357143
